Anunas Elementary School,"15.154133, 120.5544484",Barangay Anunas
C.M.R. Covered Court,"15.1467344, 120.5914119",Barangay Claro M. Recto
San Roque Chapel,"15.1725028, 120.6272581",Barangay Cutud
Lourdes Northwest Elementary School,"15.1424194, 120.5861867",Barangay L. N. W.
"Lourdes Sur East, Covered Court","15.1432317, 120.5932751",Barangay Lourdes Sur East
Enrica Sandico Elementary School,"15.1600825, 120.608663",Barangay Pulung Maragul
San Jose Covered Court,"37.3377081, -121.8859228",Barangay San Jose
Sapa Libutad Elementary School,"15.1588934, 120.6286186",Barangay Sapa Libutad
Belen Homesite Elementary School,"14.6608329, 121.029047",Barangay Sto Cristo
 Sto Domingo Boyscout Building,"14.6289658, 121.0062721",Barangay Sto Domingo
Balucuc Elementary School Covered Court,"14.9646371, 120.8375809","Sitio Centro Balucuc, Apalit, Pampanga"
Calantipe Covered Court,"14.9762235, 120.8412807","Calantipe, Apalit, Pampanga"
Sulipan Covered Court,"14.9370552, 120.7551101","Sulipan proper, Sulipan, Apalit, Pampanga"
Colgante Covered Court,"14.9396096, 120.7378688","Colgante, Apalit, Pampanga"
San Juan Municipal Covered Court,"14.9535922, 120.7685597","Municipal Compound, San Juan, Apalit, Pampanga"
Sucad Covered Court,"14.970889, 120.772349","Sucad, Apalit, Pampanga"
Sampaloc Elementary School Covered Court,"14.9644909, 120.7578916","Sampaloc, Apalit, Pampanga"
Paligui Elementary School,"14.9764281, 120.7470372","Paligui, Apalit, Pampanga"
MULTI-PURPOSE BLDG EVACUATION CENTER,"14.972244, 120.5300685","BARANGAY SOLIB, FLORIDABLANCA"
Baruya Church,"14.8652031, 120.5365449","BARUYA, LUBAO, PAMPANGA"
MUNICIPAL TRAINING CENTER,"14.9982582, 120.6228659","SAN JOSE, SANTA RITA, PAMPANGA"